Cod_Prod;Nom_Prod;Concent;Nom_Form_Farm;Presentac;Fracción;Num_RegSan;Nom_Titular;Nom_Fabricante;Nom_IFA;Nom_Rubro;Situación
60937;TENSOCARD;10 mg;Tableta;Caja Envase Blíster Tabletas;480;EN04907;LABORATORIOS AC FARMA S.A.;LABORATORIOS AC FARMA S.A.;AMLODIPINO BESILATO;ESPECIALIDAD FARMACEUTICA;ACT
60741;TENSOCARD-V;5 mg + 80 mg;Tableta Recubierta;Caja Envase Blíster Tableta Recubierta;30;EN04604;LABORATORIOS AC FARMA S.A.;LABORATORIOS AC FARMA S.A.;AMLODIPINO BESILATO + VALSARTAN;ESPECIALIDAD FARMACEUTICA;ACT
37584;TENSODOX;5 mg;Tableta Recubierta;Caja Envase Blister Tableta Recubierta;20;EN01168;FARMINDUSTRIA S.A.;FARMINDUSTRIA S.A.;CICLOBENZAPRINA CLORHIDRATO;ESPECIALIDAD FARMACEUTICA;ACT
39576;TENSODOX;10 mg;Comprimido Recubierto;Caja Envase Blíster Comprimidos;20;EN01043;FARMINDUSTRIA S.A.;FARMINDUSTRIA S.A.;CICLOBENZAPRINA CLORHIDRATO;ESPECIALIDAD FARMACEUTICA;ACT
44543;TENSOFLEXIL;300 mg/ 250 mg;Tableta Recubierta;Caja Envase Blister Tabletas Recubiertas;100;EN05727;SCIENTIA PHARMA S.A.C.;LABORATORIOS INDUQUIMICA S.A.;CLORZOXAZONA + PARACETAMOL;ESPECIALIDAD FARMACEUTICA;ACT
49145;TENSOFLOW;15 mg;Cápsula de Liberación Prolongada;Caja Envase Blister Cápsula de Liberación Prolongada;30;EE07397;REPRESENTACIONES DIPHASAC S.A.C.;TITAN LABORATORIES PVT. LTD.;CICLOBENZAPRINA CLORHIDRATO;ESPECIALIDAD FARMACEUTICA;ACT
48885;TENSOFLOW;10 mg;Tableta Recubierta;Caja Envase Blister Tableta Recubierta;30;EE07410;REPRESENTACIONES DIPHASAC S.A.C.;TITAN LABORATORIES PVT. LTD.;CICLOBENZAPRINA CLORHIDRATO;ESPECIALIDAD FARMACEUTICA;ACT
53088;TENSOFLOW;10 mg;Tableta Recubierta;Caja Envase Blíster Tableta Recubierta;10;EE07410;DIPHASAC S.A.C.;TITAN LABORATORIES PVT. LTD.;CICLOBENZAPRINA CLORHIDRATO;ESPECIALIDAD FARMACEUTICA;ACT
53089;TENSOFLOW;15 mg;Tableta Recubierta;Caja Envase Blíster Tableta Recubierta;10;EE07397;DIPHASAC S.A.C.;TITAN LABORATORIES PVT. LTD.;CICLOBENZAPRINA CLORHIDRATO;ESPECIALIDAD FARMACEUTICA;ACT
56651;TENSOFLOW;15 mg;Cápsula de Liberación Prolongada;Caja Envase Blíster Cápsula de Liberación Prolongada;30;EE07397;JAM PHARMACEUTICAL S.A.C.- JAM PHARMA S.A.C.;TITAN LABORATORIES PVT. LTD.;CICLOBENZAPRINA CLORHIDRATO;ESPECIALIDAD FARMACEUTICA;ACT
56652;TENSOFLOW;15 mg;Cápsula de Liberación Prolongada;Caja Envase Blister Cápsula de Liberación Prolongada;10;EE07397;JAM PHARMACEUTICAL S.A.C.- JAM PHARMA S.A.C.;TITAN LABORATORIES PVT. LTD.;CICLOBENZAPRINA CLORHIDRATO;ESPECIALIDAD FARMACEUTICA;ACT
56653;TENSOFLOW;10 mg;Tableta Recubierta;Caja Envase Blíster Tableta Recubierta;10;EE07410;JAM PHARMACEUTICAL S.A.C.- JAM PHARMA S.A.C.;TITAN LABORATORIES PVT. LTD.;CICLOBENZAPRINA CLORHIDRATO;ESPECIALIDAD FARMACEUTICA;ACT
56639;TENSOFLOW;10 mg;Tableta Recubierta;Caja Envase Blíster Tableta Recubierta;30;EE07410;JAM PHARMACEUTICAL S.A.C.- JAM PHARMA S.A.C.;TITAN LABORATORIES PVT. LTD.;CICLOBENZAPRINA CLORHIDRATO;ESPECIALIDAD FARMACEUTICA;ACT
